THETA2_deg,A_x,A_y,B_x,B_y,MCF_x,MCF_y,M4_x,M4_y,J2_x,J2_y,P_x,P_y,S1_x,S1_y,S2_x,S2_y,P2_x,P2_y,P3_x,P3_y,IFP_x,IFP_y,IFD_x,IFD_y,TIP_x,TIP_y,CRK3_x,CRK3_y,ROK3_x,ROK3_y,theta_fp_deg,theta_fm_deg,theta_fd_deg,DIP_rel_deg
20.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-18.6962,17.4924,41.8892,11.9707,-1.1829,35.3329,-28.9339,-5.3153,-41.8374,-6.8963,-55.2819,25.4185,-98.1086,-4.0751,-57.6363,-25.9592,-81.5713,-36.1137,-95.1492,-55.9036,-63.0938,-31.8086,-64.1411,-40.6065,186.9854,202.9892,235.5460,32.5569
21.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-18.8485,17.4071,41.6753,12.5429,-1.6080,35.5114,-29.0185,-5.4308,-41.9126,-7.0864,-55.6172,25.1189,-98.2404,-4.6681,-57.6010,-26.2404,-81.4573,-36.5786,-94.8725,-56.4791,-63.0246,-32.1213,-63.9908,-40.9285,187.3168,203.4297,236.0155,32.5858
22.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-19.0000,17.3205,41.4514,13.1112,-2.0384,35.6863,-29.1027,-5.5473,-41.9870,-7.2777,-55.9533,24.8150,-98.3694,-5.2660,-57.5640,-26.5224,-81.3393,-37.0454,-94.5894,-57.0562,-62.9533,-32.4347,-63.8374,-41.2505,187.6494,203.8741,236.4898,32.6157
23.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-19.1508,17.2326,41.2177,13.6756,-2.4740,35.8575,-29.1866,-5.6646,-42.0606,-7.4701,-56.2900,24.5068,-98.4957,-5.8689,-57.5251,-26.8053,-81.2174,-37.5139,-94.2997,-57.6349,-62.8799,-32.7488,-63.6810,-41.5726,187.9832,204.3225,236.9689,32.6464
24.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-19.3008,17.1433,40.9741,14.2358,-2.9149,36.0247,-29.2700,-5.7829,-42.1333,-7.6636,-56.6275,24.1941,-98.6191,-6.4767,-57.4845,-27.0889,-81.0915,-37.9843,-94.0033,-58.2151,-62.8045,-33.0637,-63.5214,-41.8946,188.3182,204.7750,237.4531,32.6781
25.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-19.4500,17.0528,40.7208,14.7916,-3.3610,36.1878,-29.3531,-5.9021,-42.2051,-7.8583,-56.9656,23.8770,-98.7397,-7.0895,-57.4421,-27.3732,-80.9615,-38.4565,-93.7000,-58.7968,-62.7269,-33.3792,-63.3586,-42.2166,188.6544,205.2316,237.9423,32.7107
26.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-19.5984,16.9610,40.4578,15.3430,-3.8124,36.3466,-29.4358,-6.0222,-42.2760,-8.0540,-57.3043,23.5553,-98.8572,-7.7074,-57.3978,-27.6584,-80.8273,-38.9304,-93.3899,-59.3798,-62.6472,-33.6953,-63.1927,-42.5385,188.9918,205.6923,238.4366,32.7443
27.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-19.7460,16.8678,40.1852,15.8897,-4.2689,36.5010,-29.5180,-6.1432,-42.3460,-8.2509,-57.6436,23.2290,-98.9716,-8.3304,-57.3517,-27.9442,-80.6890,-39.4060,-93.0728,-59.9642,-62.5653,-34.0121,-63.0235,-42.8602,189.3304,206.1573,238.9362,32.7789
28.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-19.8928,16.7734,39.9032,16.4315,-4.7307,36.6508,-29.5998,-6.2651,-42.4151,-8.4488,-57.9835,22.8981,-99.0829,-8.9585,-57.3038,-28.2308,-80.5464,-39.8833,-92.7485,-60.5499,-62.4813,-34.3294,-62.8512,-43.1817,189.6701,206.6265,239.4412,32.8146
29.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-20.0387,16.6777,39.6117,16.9683,-5.1976,36.7959,-29.6812,-6.3879,-42.4832,-8.6478,-58.3239,22.5623,-99.1910,-9.5917,-57.2539,-28.5180,-80.3994,-40.3623,-92.4170,-61.1367,-62.3951,-34.6474,-62.6756,-43.5030,190.0110,207.1002,239.9515,32.8513
30.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-20.1839,16.5808,39.3109,17.5000,-5.6696,36.9360,-29.7621,-6.5116,-42.5504,-8.8479,-58.6648,22.2218,-99.2957,-10.2302,-57.2022,-28.8060,-80.2481,-40.8429,-92.0782,-61.7247,-62.3067,-34.9659,-62.4967,-43.8239,190.3531,207.5782,240.4673,32.8892
31.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-20.3281,16.4825,39.0009,18.0263,-6.1467,37.0710,-29.8425,-6.6362,-42.6166,-9.0491,-59.0061,21.8764,-99.3970,-10.8738,-57.1486,-29.0945,-80.0923,-41.3251,-91.7319,-62.3137,-62.2161,-35.2849,-62.3145,-44.1444,190.6963,208.0606,240.9888,32.9282
32.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-20.4715,16.3830,38.6817,18.5472,-6.6288,37.2008,-29.9224,-6.7617,-42.6818,-9.2513,-59.3479,21.5260,-99.4948,-11.5228,-57.0931,-29.3837,-79.9320,-41.8089,-91.3779,-62.9037,-62.1232,-35.6045,-62.1290,-44.4645,191.0406,208.5477,241.5160,32.9683
33.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-20.6141,16.2823,38.3535,19.0624,-7.1160,37.3252,-30.0019,-6.8881,-42.7460,-9.4546,-59.6900,21.1706,-99.5891,-12.1771,-57.0356,-29.6735,-79.7671,-42.2942,-91.0163,-63.4945,-62.0282,-35.9245,-61.9402,-44.7841,191.3861,209.0392,242.0489,33.0097
34.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-20.7557,16.1803,38.0163,19.5718,-7.6081,37.4439,-30.0808,-7.0154,-42.8092,-9.6589,-60.0325,20.8101,-99.6796,-12.8367,-56.9762,-29.9639,-79.5976,-42.7810,-90.6469,-64.0862,-61.9309,-36.2450,-61.7480,-45.1031,191.7327,209.5355,242.5878,33.0523
35.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-20.8965,16.0771,37.6703,20.0752,-8.1051,37.5569,-30.1592,-7.1436,-42.8713,-9.8643,-60.3752,20.4444,-99.7664,-13.5016,-56.9149,-30.2549,-79.4233,-43.2692,-90.2695,-64.6785,-61.8313,-36.5659,-61.5524,-45.4215,192.0804,210.0364,243.1326,33.0962
36.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-21.0363,15.9727,37.3156,20.5725,-8.6070,37.6640,-30.2371,-7.2726,-42.9324,-10.0706,-60.7181,20.0735,-99.8493,-14.1720,-56.8516,-30.5464,-79.2442,-43.7589,-89.8841,-65.2715,-61.7295,-36.8872,-61.3535,-45.7392,192.4292,210.5422,243.6836,33.1414
37.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-21.1752,15.8671,36.9522,21.0635,-9.1136,37.7649,-30.3144,-7.4026,-42.9924,-10.2781,-61.0612,19.6972,-99.9282,-14.8479,-56.7863,-30.8384,-79.0603,-44.2499,-89.4905,-65.8650,-61.6254,-37.2089,-61.1511,-46.0562,192.7791,211.0527,244.2408,33.1880
